student_id,gender,age,study_hours,attendance_rate,previous_grades,parental_education,family_income_level,course,semester,grade,passed
STU-0001,Male,24,26.1,75.3,3.0,Bachelor,Low,History,Fall 2024,58.7,1
STU-0001,Male,24,16.0,72.5,3.0,Bachelor,Low,Science,Spring 2025,41.9,0
STU-0001,Male,24,29.9,,3.0,Bachelor,Low,History,Fall 2023,63.3,1
STU-0001,Male,24,13.8,100.0,3.0,Bachelor,Low,English,Spring 2024,44.1,0
STU-0002,Male,18,16.2,83.8,3.58,Bachelor,Medium,English,Fall 2024,55.1,1
STU-0002,Male,18,26.7,71.1,3.58,Bachelor,Medium,Science,Spring 2024,69.8,1
STU-0002,Male,18,19.7,91.2,3.58,Bachelor,Medium,Science,Fall 2023,62.0,1
STU-0002,Male,18,5.3,100.0,3.58,Bachelor,Medium,Science,Spring 2025,70.5,1
STU-0003,Non-Binary,25,14.3,90.5,2.77,High School,Low,English,Spring 2024,61.7,1
STU-0003,Non-Binary,25,22.1,77.6,2.77,High School,Low,Mathematics,Fall 2023,61.5,1
STU-0004,Female,18,21.7,82.4,,No Degree,Medium,History,Spring 2024,52.5,1
STU-0004,Female,18,14.4,83.4,2.97,No Degree,Medium,English,Fall 2024,68.0,1
STU-0004,Female,18,1.0,90.3,2.97,No Degree,Medium,English,Fall 2023,48.4,0
STU-0005,Male,20,22.1,84.1,2.59,PhD,Low,History,Spring 2024,70.4,1
STU-0005,Male,20,23.9,82.5,2.59,PhD,Low,Science,Fall 2023,74.9,1
STU-0006,Female,20,16.9,57.8,2.31,Master,Medium,History,Spring 2025,45.9,0
STU-0006,Female,20,8.2,71.7,2.31,Master,Medium,English,Fall 2023,49.0,0
STU-0007,Non-Binary,22,23.0,62.2,2.24,High School,Medium,History,Fall 2024,48.5,0
STU-0007,Non-Binary,22,20.2,71.4,2.24,High School,Medium,Mathematics,Spring 2025,54.6,1
STU-0008,Male,17,16.4,85.9,3.04,High School,Low,English,Spring 2024,50.8,1
STU-0008,Male,17,27.7,95.9,3.04,High School,Low,Computer Science,Fall 2023,60.2,1
STU-0008,Male,17,17.1,75.4,3.04,High School,Low,Mathematics,Fall 2024,43.6,0
STU-0008,Male,17,13.2,87.9,3.04,High School,Low,Computer Science,Spring 2025,59.7,1
STU-0009,Female,20,27.4,88.1,2.13,Bachelor,Low,Mathematics,Fall 2023,64.3,1
STU-0009,Female,20,6.5,87.2,,Bachelor,Low,Science,Spring 2024,36.9,0
STU-0010,Female,25,19.2,82.8,3.5,Bachelor,Low,English,Spring 2024,64.1,1
STU-0010,Female,25,12.6,78.5,3.5,Bachelor,Low,Mathematics,Fall 2024,57.8,1
STU-0010,Female,25,12.3,60.2,,Bachelor,Low,Computer Science,Spring 2025,41.0,0
STU-0010,Female,25,26.4,94.9,3.5,Bachelor,Low,Science,Fall 2023,76.6,1
STU-0011,Male,21,21.6,100.0,2.13,High School,Medium,Mathematics,Spring 2025,53.8,1
STU-0011,Male,21,22.3,91.7,2.13,High School,Medium,Computer Science,Spring 2024,62.2,1
STU-0011,Male,21,16.6,99.8,2.13,High School,Medium,English,Fall 2023,58.4,1
STU-0011,Male,21,38.3,77.9,2.13,High School,Medium,Computer Science,Fall 2024,57.7,1
STU-0012,Female,17,13.1,88.1,1.55,No Degree,High,Computer Science,Spring 2024,53.4,1
STU-0012,Female,17,7.4,72.0,1.55,No Degree,High,English,Spring 2025,44.0,0
STU-0012,Female,17,1.0,91.7,1.55,No Degree,High,Science,Fall 2023,46.8,0
STU-0013,Female,24,26.1,88.1,2.0,No Degree,Low,Science,Fall 2023,64.5,1
STU-0013,Female,24,18.6,100.0,2.0,No Degree,Low,English,Spring 2025,48.6,0
STU-0013,Female,24,1.5,82.7,2.0,No Degree,Low,Science,Spring 2024,66.7,1
STU-0013,Female,24,10.6,73.1,2.0,No Degree,Low,Computer Science,Fall 2024,27.4,0
STU-0014,Female,19,10.9,73.0,4.0,Bachelor,Medium,Mathematics,Fall 2023,72.6,1
STU-0014,Female,19,19.0,77.3,4.0,Bachelor,Medium,History,Fall 2024,71.6,1
STU-0015,Female,20,14.1,85.6,2.72,Bachelor,Medium,Science,Fall 2024,66.8,1
STU-0015,Female,20,5.6,72.9,,Bachelor,Medium,Computer Science,Fall 2023,51.2,1
STU-0015,Female,20,22.6,83.7,2.72,Bachelor,Medium,Computer Science,Spring 2024,78.9,1
STU-0015,Female,20,5.8,70.7,2.72,Bachelor,Medium,Computer Science,Spring 2025,59.3,1
STU-0016,Male,21,20.6,87.0,2.3,No Degree,Medium,Science,Fall 2024,54.2,1
STU-0016,Male,21,1.0,100.0,2.3,No Degree,Medium,Computer Science,Spring 2024,35.8,0
STU-0016,Male,21,12.4,85.9,2.3,No Degree,Medium,Computer Science,Fall 2023,77.1,1
STU-0017,Female,24,22.8,76.9,2.86,PhD,High,History,Fall 2024,78.0,1
STU-0017,Female,24,30.1,85.2,2.86,PhD,High,Mathematics,Fall 2023,77.4,1
STU-0017,Female,24,11.8,100.0,2.86,PhD,High,Mathematics,Spring 2024,64.1,1
STU-0017,Female,24,31.3,71.7,2.86,PhD,High,English,Spring 2025,76.4,1
STU-0018,Female,24,15.0,54.2,2.22,Master,High,English,Spring 2024,46.3,0
STU-0018,Female,24,25.6,64.3,2.22,Master,High,Computer Science,Fall 2023,60.2,1
STU-0019,Male,17,14.7,95.8,3.35,Bachelor,High,Mathematics,Spring 2024,72.4,1
STU-0019,Male,17,20.1,100.0,3.35,Bachelor,High,History,Spring 2025,85.4,1
STU-0019,Male,17,19.6,68.9,,Bachelor,High,Computer Science,Fall 2024,55.6,1
STU-0020,Non-Binary,25,24.3,78.8,2.99,High School,High,Science,Spring 2025,62.7,1
STU-0020,Non-Binary,25,13.9,94.3,2.99,High School,High,History,Fall 2023,70.1,1
STU-0020,Non-Binary,25,13.0,84.1,2.99,High School,High,Mathematics,Spring 2024,66.9,1
STU-0021,Male,21,11.2,98.4,3.41,High School,Medium,Mathematics,Spring 2025,46.2,0
STU-0021,Male,21,29.1,67.1,3.41,High School,Medium,Science,Fall 2024,51.5,1
STU-0022,Male,18,24.2,85.4,3.69,Bachelor,Low,History,Fall 2024,64.0,1
STU-0022,Male,18,18.6,89.8,3.69,Bachelor,Low,Computer Science,Fall 2023,68.1,1
STU-0023,Female,25,15.6,89.6,2.84,High School,Low,English,Spring 2025,43.6,0
STU-0023,Female,25,22.8,56.9,2.84,High School,Low,History,Fall 2024,63.6,1
STU-0024,Male,21,36.0,79.2,3.04,PhD,High,Computer Science,Fall 2024,91.1,1
STU-0024,Male,21,10.4,100.0,3.04,PhD,High,Computer Science,Spring 2024,82.4,1
STU-0025,Non-Binary,17,15.6,96.6,2.47,High School,Medium,Mathematics,Spring 2025,47.8,0
STU-0025,Non-Binary,17,11.7,,2.47,High School,Medium,History,Fall 2023,52.4,1
STU-0026,Female,21,14.3,,2.28,Master,Medium,History,Spring 2024,52.2,1
STU-0026,Female,21,12.9,73.4,2.28,Master,Medium,Science,Spring 2025,57.5,1
STU-0027,Female,18,15.0,100.0,4.0,Master,Medium,Mathematics,Fall 2024,84.9,1
STU-0027,Female,18,16.4,81.0,4.0,Master,Medium,Science,Fall 2023,69.5,1
STU-0028,Female,18,,52.4,2.61,High School,Medium,Science,Spring 2025,52.5,1
STU-0028,Female,18,16.5,84.0,2.61,High School,Medium,Computer Science,Spring 2024,67.1,1
STU-0028,Female,18,5.0,83.5,2.61,High School,Medium,English,Fall 2024,41.8,0
STU-0029,Male,24,18.1,73.0,3.13,Bachelor,High,Computer Science,Spring 2025,59.8,1
STU-0029,Male,24,18.4,73.7,3.13,Bachelor,High,Computer Science,Fall 2023,49.4,0
STU-0030,Female,17,19.0,,3.16,Bachelor,Medium,Mathematics,Spring 2025,67.0,1
STU-0030,Female,17,9.5,90.8,3.16,Bachelor,Medium,Mathematics,Fall 2024,55.2,1
STU-0031,Female,20,14.0,86.6,4.0,High School,Medium,Science,Fall 2024,66.5,1
STU-0031,Female,20,,79.2,4.0,High School,Medium,English,Fall 2023,70.0,1
STU-0031,Female,20,2.5,66.4,4.0,High School,Medium,Mathematics,Spring 2025,53.9,1
STU-0031,Female,20,4.0,81.1,4.0,High School,Medium,Mathematics,Spring 2024,52.0,1
STU-0032,Male,25,4.0,91.0,1.32,Bachelor,Low,Mathematics,Fall 2024,47.6,0
STU-0032,Male,25,15.7,74.8,1.32,Bachelor,Low,Science,Fall 2023,32.7,0
STU-0032,Male,25,13.1,56.1,1.32,Bachelor,Low,Computer Science,Spring 2025,47.8,0
STU-0032,Male,25,17.7,75.7,1.32,Bachelor,Low,Mathematics,Spring 2024,40.9,0
STU-0033,Male,20,22.2,89.5,3.36,PhD,High,English,Fall 2024,86.9,1
STU-0033,Male,20,7.6,89.2,,PhD,High,English,Fall 2023,64.0,1
STU-0033,Male,20,25.6,85.2,3.36,PhD,High,History,Spring 2025,59.6,1
STU-0033,Male,20,35.8,85.0,3.36,PhD,High,Mathematics,Spring 2024,87.4,1
STU-0034,Female,20,11.7,89.4,2.9,High School,Medium,Science,Fall 2024,66.4,1
STU-0034,Female,20,22.7,100.0,2.9,High School,Medium,English,Fall 2023,64.2,1
STU-0034,Female,20,21.1,75.0,2.9,High School,Medium,English,Spring 2025,63.3,1
STU-0035,Non-Binary,19,10.2,86.8,2.38,No Degree,Medium,English,Fall 2024,48.0,0
STU-0035,Non-Binary,19,12.4,87.8,2.38,No Degree,Medium,Computer Science,Spring 2024,42.2,0
STU-0035,Non-Binary,19,21.6,52.4,2.38,No Degree,Medium,History,Fall 2023,44.8,0
STU-0036,Female,19,16.1,90.3,4.0,Bachelor,Medium,Mathematics,Spring 2024,76.3,1
STU-0036,Female,19,18.8,43.7,4.0,Bachelor,Medium,English,Spring 2025,68.7,1
STU-0036,Female,19,6.2,95.2,4.0,Bachelor,Medium,English,Fall 2023,65.9,1
STU-0036,Female,19,14.7,100.0,4.0,Bachelor,Medium,Computer Science,Fall 2024,70.8,1
STU-0037,Female,22,22.6,71.9,2.45,Master,Medium,English,Fall 2024,65.4,1
STU-0037,Female,22,17.3,63.3,2.45,Master,Medium,Computer Science,Fall 2023,53.2,1
STU-0037,Female,22,22.5,92.5,2.45,Master,Medium,History,Spring 2025,77.2,1
STU-0038,Female,19,20.9,80.7,3.63,Bachelor,Medium,Science,Fall 2023,89.2,1
STU-0038,Female,19,24.9,64.0,3.63,Bachelor,Medium,Mathematics,Fall 2024,59.0,1
STU-0038,Female,19,19.6,96.1,3.63,Bachelor,Medium,History,Spring 2025,77.0,1
STU-0039,Male,25,17.0,59.5,,Bachelor,Medium,Mathematics,Fall 2023,42.3,0
STU-0039,Male,25,4.5,100.0,2.11,Bachelor,Medium,English,Fall 2024,52.6,1
STU-0040,Female,21,5.6,40.0,2.5,Bachelor,Low,Science,Fall 2023,35.0,0
STU-0040,Female,21,24.2,58.1,2.5,Bachelor,Low,English,Spring 2025,51.9,1
STU-0041,Male,23,10.9,59.7,3.53,High School,Low,Science,Fall 2023,50.4,1
STU-0041,Male,23,34.7,50.6,3.53,High School,Low,History,Fall 2024,62.2,1
STU-0041,Male,23,25.5,59.1,3.53,High School,Low,Mathematics,Spring 2025,48.0,0
STU-0041,Male,23,18.1,72.8,3.53,High School,Low,English,Spring 2024,51.0,1
STU-0042,Male,24,13.5,40.0,2.42,Bachelor,Low,History,Fall 2023,36.4,0
STU-0042,Male,24,19.9,76.6,2.42,Bachelor,Low,Computer Science,Spring 2025,53.5,1
STU-0042,Male,24,24.7,55.1,2.42,Bachelor,Low,Science,Spring 2024,49.2,0
STU-0042,Male,24,17.4,93.3,2.42,Bachelor,Low,History,Fall 2024,40.7,0
